continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
"W. Europe, NA, and Aus/NZ",2021-04-12,1062311981,2854.159783610927,2854.404659005918,2854.159783610927,2854.159783610927,2854.084582911131,2854.084582911131,2854.0596468324425,131290.1406747982,2854.1334929303953,4465.427
"W. Europe, NA, and Aus/NZ",2021-04-19,1062311981,3175.568802776635,3175.8298216002586,3175.593887911816,3175.568802776635,3175.421398350687,3175.421398350687,3175.3504480342667,146074.0149605121,3175.5220643589587,3673.146
"W. Europe, NA, and Aus/NZ",2021-04-26,1062311981,2768.197210132667,2768.534196158781,2768.197210132667,2768.197210132667,2768.1493264363303,2768.1493264363303,2768.0403471173313,127335.84924622618,2768.1706357875255,3450.858
"W. Europe, NA, and Aus/NZ",2021-05-03,1062311981,2170.4289767484565,2170.6535875312934,2170.5590749405033,2170.5590749405033,2170.4289767484565,2170.4289767484565,2170.2639806188477,99837.32623547419,2170.376657292917,3016.143
"W. Europe, NA, and Aus/NZ",2021-05-10,1062311981,1951.4212604337242,1951.73249098876,1951.73249098876,1951.73249098876,1951.4212604337242,1951.4212604337242,1951.406008562089,89765.42909261714,1951.4223715786334,2616.143
"W. Europe, NA, and Aus/NZ",2021-05-17,1062311981,1516.561053079862,1516.858636289381,1516.858636289381,1516.858636289381,1516.561053079862,1516.561053079862,1516.5146726819291,69762.39480690307,1516.5738001500667,2116.138
"W. Europe, NA, and Aus/NZ",2021-05-24,1062311981,938.2876661065101,938.5583083759133,938.5583083759133,938.5583083759133,938.2876661065101,938.2876661065101,938.1805233275487,43161.12052118813,938.2852287214811,1746.001
"W. Europe, NA, and Aus/NZ",2021-05-31,1062311981,1214.3487288280173,1214.4766816085958,1214.3487288280173,1214.3487288280173,1214.3174736955932,1214.3174736955932,1214.2369592061518,55858.96052118761,1214.3252287214698,1707.714
"W. Europe, NA, and Aus/NZ",2021-06-07,1062311981,1083.5409612657481,1083.7331821461514,1083.7331821461514,1083.7331821461514,1083.5409612657481,1083.5409612657481,1083.4997872398371,49846.04543670236,1083.6096834065731,1262.574
"W. Europe, NA, and Aus/NZ",2021-06-14,1062311981,1555.9948016078793,1556.1891732746492,1556.151959625687,1556.151959625687,1555.9948016078793,1555.9948016078793,1555.9625041334546,71579.20543670237,1556.0696834065732,1103.575
