continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
W. Europe,2021-10-25,530152257,2988.777542469954,2989.4438569639196,2988.9542957647545,2988.807403475868,2988.777542469954,2988.777542469954,2988.698250895904,122525.12758707722,2988.4177460262736,1107.572
W. Europe,2021-11-01,530152257,3135.8966515858506,3179.454944691286,3168.1937763429046,3168.1937763429046,3135.8966515858506,3135.8966515858506,3098.936865887715,124037.53744675787,3025.305791384338,1331.144
W. Europe,2021-11-08,530152257,3430.1272304802724,3456.136858974557,3430.1272304802724,3430.1272304802724,3409.9143612871035,3409.9143612871035,3386.99042448551,134046.34030390065,3269.4229342414797,1536.429
W. Europe,2021-11-15,530152257,3703.513014500207,3751.821339877522,3703.513014500207,3703.513014500207,3693.5996937724835,3693.5996937724835,3649.4122048795534,143919.8444772554,3510.240109201351,1675.711
W. Europe,2021-11-22,530152257,3789.053786240627,3823.4459307585043,3790.0884844234847,3790.0884844234847,3789.053786240627,3789.053786240627,3765.442488756274,147252.55876296974,3591.5258234870666,1855.4289999999999
W. Europe,2021-11-29,530152257,4205.571032872635,4263.59385187407,4217.271037739892,4205.571032872635,4096.269661841458,4096.269661841458,4096.269661841458,142413.67690101106,3473.5043146588064,1936.429
W. Europe,2021-12-06,530152257,4005.8782090696723,4073.7976628634724,4034.1032843729417,4005.8782090696723,3915.5782819334404,3915.5782819334404,3915.5782819334404,126076.37987476113,3075.0336554819787,2013.429
W. Europe,2021-12-13,530152257,3639.221261068793,3675.2016989618755,3639.221261068793,3639.221261068793,3544.035430157834,3544.035430157834,3529.0980692934145,104616.00851039506,2551.609963668172,2182
W. Europe,2021-12-20,530152257,3071.426477586635,3110.5624307612397,3071.426477586635,3071.426477586635,3043.7993514936247,3043.7993514936247,3005.113915536151,79724.28989081227,1944.4948753856652,2156.429
W. Europe,2021-12-27,530152257,2524.3239641141718,2585.5064375757765,2528.2074280975817,2528.2074280975817,2524.3239641141718,2522.1184172233475,2451.489904457775,59721.304658067296,1456.6171867821292,1835.858
W. Europe,2022-01-03,530152257,1713.3815233635414,1874.0502112677123,1713.3815233635414,1713.3815233635414,996.1726236204753,996.1726236204753,888.1886630302065,21878.25393383792,533.6159496058029,1854.714
W. Europe,2022-01-10,530152257,1801.7160989809302,2040.7540764197859,1801.7160989809302,1801.7160989809302,992.8852813041955,992.8852813041955,630.8588113119756,6526.947726060532,159.19384697708614,1787.286
W. Europe,2022-01-17,530152257,3836.5905715735835,4652.304193388027,3836.5905715735835,3836.5905715735835,1969.146379804805,1969.146379804805,787.2545814893482,0,0,2113.858
W. Europe,2022-01-24,530152257,3741.1180662829565,5290.341335041103,3741.1180662829565,3741.1180662829565,2372.437415442727,2372.437415442727,650.6317698059422,0,0,1992.144
W. Europe,2022-01-30,530152257,3733.9331951323306,5291.216913795707,3733.9331951323306,3733.9331951323306,2322.110125199171,2322.110125199171,619.5755221531526,0,0,1736.574
