custom_regions,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Asia,2021-01-11,4678110154,2482662.6589053045,3332102.899622743,3332102.899622743,2482662.6589053045,1716497.4240914993,1182305.4014624644,1182305.4014624644,4651751.445486117,93035.02890972234,349863.24799999996
Oceania,2021-01-11,43202462,-15029.053661180787,-10169.152479078532,-10169.152479078532,-10678.480153586223,-15297.985875843855,-20379.193819933993,-20379.193819933993,-237272.3654400299,-11298.684068572853,1069.04
European Union,2021-01-11,447045744,584362.5575994126,584362.5575994126,584362.5575994126,584362.5575994126,584362.5575994126,584362.5575994126,584362.5575994126,15777789.055184143,584362.5575994126,402826.172
North America,2021-01-11,370982987,595752.3398348398,595752.3398348398,595752.3398348398,595752.3398348398,595752.3398348398,595752.3398348398,595752.3398348398,1191504.6796696796,595752.3398348398,400105.013
Latin America and Caribbean,2021-01-18,655805524,983901.7505596742,999468.0344919702,999468.0344919702,983901.7505596742,970760.4831315733,958660.9462681754,958660.9462681754,43141129.35399695,937850.6381303685,607160.33
Asia,2021-01-18,4678110154,2522902.7287677205,3406305.0294603426,3406305.0294603426,2522902.7287677205,1743126.3453579543,1180222.3813166649,1180222.3813166649,4762669.968986306,95253.39937972612,358169.245
Oceania,2021-01-18,43202462,-15008.734454444624,-10089.141127839384,-10089.141127839384,-10594.730768538953,-15305.352331585196,-20435.450824963475,-20435.450824963475,-235719.19903530084,-11224.723763585755,1072.0430000000001
European Union,2021-01-18,447045744,605297.1596568987,605297.1596568987,605297.1596568987,605297.1596568987,605297.1596568987,605297.1596568987,605297.1596568987,16343023.310736265,605297.1596568987,426088.159
North America,2021-01-18,370982987,618573.8942000365,618573.8942000365,618573.8942000365,618573.8942000365,618573.8942000365,618573.8942000365,618573.8942000365,1237147.788400073,618573.8942000365,424281.018
Latin America and Caribbean,2021-01-25,655805524,1026146.7807638926,1043055.4798209058,1043055.4798209058,1026322.85131067,1012515.854356206,999675.1019714895,999675.1019714895,44924624.67475101,976622.2755380655,632850.337
Asia,2021-01-25,4678110154,2562225.733135118,3480653.7826801664,3480653.7826801664,2562225.733135118,1780202.3864727693,1174865.2542850294,1174865.2542850294,4876971.825819829,97539.43651639657,366066.25299999997
Oceania,2021-01-25,43202462,-15208.48008598246,-10245.563631811938,-10245.563631811938,-10746.418632871391,-15523.133645671001,-20701.459031448307,-20701.459031448307,-238923.2326305718,-11377.296791931989,1074.045
European Union,2021-01-25,447045744,621579.4283810514,621579.4283810514,621579.4283810514,621579.4283810514,621579.4283810514,621579.4283810514,621579.4283810514,16782644.566288386,621579.4283810514,450714.173
North America,2021-01-25,370982987,637823.698565233,637823.698565233,637823.698565233,637823.698565233,637823.698565233,637823.698565233,637823.698565233,1275647.397130466,637823.698565233,447236.02
Latin America and Caribbean,2021-02-01,655805524,1063441.9136414984,1081950.5142226564,1081950.5142226564,1064052.0087724081,1049512.4609323323,1035845.0063741284,1035845.0063741284,46474423.45759258,1010313.5534259256,658985.341
Asia,2021-02-01,4678110154,2598678.874387619,3552388.500103788,3552388.500103788,2599280.028411468,1805245.4980547435,1168190.444366213,1168190.444366213,4948198.573272545,98963.9714654509,374222.261
Oceania,2021-02-01,43202462,-15197.24987582912,-10166.877832576567,-10166.877832576567,-10674.172624294757,-15533.822127775336,-20759.166924718775,-20759.166924718775,-237740.9977052643,-11320.999890726873,1077.048
European Union,2021-02-01,447045744,631134.8418679034,631134.8418679034,631134.8418679034,631134.8418679034,631134.8418679034,631134.8418679034,631134.8418679034,17040640.73043339,631134.8418679034,474309.171
North America,2021-02-01,370982987,654800.5862637631,654800.5862637631,654800.5862637631,654800.5862637631,654800.5862637631,654800.5862637631,654800.5862637631,1309601.1725275263,654800.5862637631,470330.014
Latin America and Caribbean,2021-02-08,655805524,1095107.5738286125,1114697.4359877578,1114697.4359877578,1095753.720472889,1080771.516216342,1066210.551948687,1066210.551948687,47779933.87376747,1038694.2146471189,683366.327
Asia,2021-02-08,4678110154,2631071.9668299444,3618903.9073113045,3618903.9073113045,2641352.1531545953,1827122.60631767,1162068.4954013021,1162068.4954013021,4985576.987391928,99711.53974783857,380916.256
Oceania,2021-02-08,43202462,-15305.612527253781,-10107.062869033898,-10107.062869033898,-10726.210751509485,-15670.715211682724,-20952.734558725435,-20952.734558725435,-239183.41277995682,-11389.686322855086,1080.051
European Union,2021-02-08,447045744,637478.2386880887,637478.2386880887,637478.2386880887,637478.2386880887,637478.2386880887,637478.2386880887,637478.2386880887,17211912.444578394,637478.2386880887,496433.161
North America,2021-02-08,370982987,665893.5572956263,665893.5572956263,665893.5572956263,665893.5572956263,665893.5572956263,665893.5572956263,665893.5572956263,1331787.1145912525,665893.5572956263,491688.015
Latin America and Caribbean,2021-02-15,655805524,1125002.1388064942,1145418.8365296628,1145418.8365296628,1125823.862356905,1110426.2830988425,1094928.734949859,1094928.734949859,49012128.7232757,1065481.0592016457,708435.322
Asia,2021-02-15,4678110154,2666413.659083866,3695257.035588529,3695257.035588529,2684269.0991899795,1853537.0983492373,1159019.870601778,1159019.870601778,5081232.9015113115,101624.65803022623,386900.269
Oceania,2021-02-15,43202462,-15509.943607708474,-10169.0248745275,-10169.0248745275,-10893.290360104173,-15899.08372333293,-21266.04499580802,-21266.04499580802,-242605.07785464937,-11552.622754983302,1081.052
European Union,2021-02-15,447045744,642793.635508274,642793.635508274,642793.635508274,642793.635508274,642793.635508274,642793.635508274,642793.635508274,17355428.1587234,642793.635508274,515705.176
North America,2021-02-15,370982987,675732.1949941564,675732.1949941564,675732.1949941564,675732.1949941564,675732.1949941564,675732.1949941564,675732.1949941564,1351464.3899883127,675732.1949941564,509146.015
Latin America and Caribbean,2021-02-22,655805524,1153410.6422583612,1174596.7698101671,1174596.7698101671,1154518.908420108,1138993.5584469705,1122245.7604899064,1122245.7604899064,50172749.10611726,1090711.9370895058,730670.339
Asia,2021-02-22,4678110154,2706505.37370558,3771636.7544169077,3771636.7544169077,2726318.0675334176,1875453.2006759404,1156796.9247428097,1156796.9247428097,5134556.315630695,102691.1263126139,392912.27499999997
Oceania,2021-02-22,43202462,-15608.6182934229,-10154.99892466803,-10154.99892466803,-10925.465619762723,-16030.906861569263,-21447.704667052672,-21447.704667052672,-243798.64292934188,-11609.459187111519,1085.056
European Union,2021-02-22,447045744,644851.698995126,644851.698995126,644851.698995126,644851.698995126,644851.698995126,644851.698995126,644851.698995126,17410995.8728684,644851.698995126,532347.193
North America,2021-02-22,370982987,683248.1660260197,683248.1660260197,683248.1660260197,683248.1660260197,683248.1660260197,683248.1660260197,683248.1660260197,1366496.3320520394,683248.1660260197,523165.013
Latin America and Caribbean,2021-03-01,655805524,1191272.9900474276,1213082.991916095,1213082.991916095,1193844.618923169,1177249.1268808327,1159019.580899251,1159019.580899251,51764490.26759125,1125315.0058172012,753369.344
