custom_regions,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Latin America and Caribbean,2021-06-07,655799753,259.3728286671435,264.7482186259202,264.1863542881536,262.21268097391084,258.550605403403,254.92541046789688,253.7650891196263,10629.838611642585,236.21863581427962,179.22624972382386
Asia,2021-06-07,4678110154,121.36456956009278,158.82082327514954,157.53101239232825,132.9004520856388,105.46414207229728,47.21059331421515,44.242724761373665,225.41385224903274,4.508277044980655,15.342571217274504
Oceania,2021-06-07,43198762,-9.626044285731222,6.576937268732113,4.070965090971253,-2.8718534536957994,-12.309454214070541,-18.73931031120908,-19.582903678977523,-188.46278139449487,-8.974418161642614,2.5580547886997316
European Union,2021-06-07,447199451,177.5480148989956,177.5480647501082,177.54802824381832,177.5480148989956,177.54773323366163,177.5475731321701,177.5475307628527,4793.7968534546435,177.5480316094312,163.1869536888139
North America,2021-06-07,370982987,200.29075765023978,200.29075765023978,200.29075765023978,200.29075765023978,200.29075765023978,200.29075765023978,200.29075765023978,400.58151530047957,200.29075765023978,167.90527890164407
Latin America and Caribbean,2021-06-14,655799753,264.2919462028979,269.8155631462992,269.2980869530544,267.2864523624977,263.53709460517365,259.8875569195996,258.6415982716709,10801.575146061727,240.03500324581614,183.68019833639676
Asia,2021-06-14,4678110154,124.43464016710456,163.595545929185,161.57502887097291,136.92491055338968,108.83875489824165,49.288912527769256,46.39564110485459,235.49766121432106,4.709953224286421,16.07278061541772
Oceania,2021-06-14,43198762,-9.167075167414481,7.387923999333454,4.866069429474907,-2.408639703406047,-12.004980864703233,-18.546201943806953,-19.324523757425727,-182.95843010984612,-8.71230619570696,2.5603719847341924
European Union,2021-06-14,447199451,179.00857176424913,179.00862161536176,179.00858510907184,179.00857176424913,179.00829009891515,179.00812999742362,179.0080876281062,4833.231888816488,179.00858847468473,164.03199497666645
North America,2021-06-14,370982987,201.58760033053034,201.58760033053034,201.58760033053034,201.58760033053034,201.58760033053034,201.58760033053034,201.58760033053034,403.17520066106067,201.58760033053034,168.58239863166557
Latin America and Caribbean,2021-06-21,655799753,269.13029808143176,274.6855656334392,274.35080183834765,272.2320108266916,268.40895735737683,264.7839147569392,263.4109619987592,10969.787548320974,243.77305662935493,188.0699546405593
Asia,2021-06-21,4678110154,128.46238897420614,167.66636103649174,165.7349877516544,139.73998956208612,111.4853200266501,51.249399754989014,48.365346969239674,245.4882273987341,4.909764547974682,16.516485772344215
Oceania,2021-06-21,43198762,-9.024910965868205,7.808366636792042,5.1298128305439175,-2.2293012885864725,-11.907539449506537,-18.70853605805573,-19.48928441153138,-185.9515445627571,-8.854835455369386,2.585844936945184
European Union,2021-06-21,447199451,180.22507645154053,180.2251263026532,180.22508979636328,180.22507645154053,180.2247947862066,180.22463468471506,180.22459231539762,4866.077515373356,180.2250931619762,164.6292700837864
North America,2021-06-21,370982987,202.80699112127294,202.80699112127294,202.80699112127294,202.80699112127294,202.80699112127294,202.80699112127294,202.80699112127294,405.6139822425459,202.80699112127294,169.20641781344008
Latin America and Caribbean,2021-06-28,655799753,273.92714165404425,279.6040857625922,279.2600147585716,277.1792954464725,273.2173949930196,269.5060498450561,268.08889852966917,11137.648280731388,247.5032951273642,192.07376828639946
Asia,2021-06-28,4678110154,131.5788119708446,172.05847295064785,169.5739233153171,143.01031986157875,113.7030665780264,53.50517273297612,49.973911643317656,255.83799846389647,5.116759969277929,16.889329045072333
Oceania,2021-06-28,43198762,-8.741626959335838,8.109333319520916,5.371025023341672,-1.854242809124868,-11.793948458533528,-18.83330116776719,-19.495798687551137,-189.28494654520432,-9.013568883104966,2.609000693121715
European Union,2021-06-28,447199451,181.03191158402745,181.0319614351401,181.03192492885017,181.03191158402745,181.0316299186935,181.03146981720195,181.03142744788454,4887.862063950503,181.03192829446306,165.15878817570373
