world,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
World,2021-10-04,7868684247,14934631.916513016,18987940.04590838,18987940.04590838,15356111.443942104,12287419.608081283,10848893.198769322,10848893.198769322,1337633066.1995285,5971576.188390752,4783556.561
World,2021-10-11,7868684247,15135714.015903687,19240417.13703162,19240417.13703162,15559788.880609091,12454751.825459044,10981905.22960405,10981905.22960405,1354004673.3116648,6044663.7201413615,4831910.5940000005
World,2021-10-18,7868684247,15338665.957058167,19486745.5296519,19486745.5296519,15768938.235465746,12610721.001695024,11113813.713775052,11113813.713775052,1370239002.0238013,6117138.40189197,4880083.635
World,2021-10-25,7868684247,15542530.097413577,19743430.88454831,19743430.88454831,15971016.257097442,12775475.961936211,11258007.376363637,11258007.376363637,1386239695.0026045,6188570.066975913,4929936.655
World,2021-11-01,7868684247,15753384.391651638,20001593.23222746,20001593.23222746,16200445.77997946,12951667.759958372,11417629.138729855,11417629.138729855,1404572876.7917311,6270414.6285345135,4980413.6620000005
World,2021-11-08,7868684247,15962564.999409927,20252280.040608108,20252280.040608108,16422893.530762628,13130349.167242978,11576662.105767107,11576662.105767107,1423268841.5141912,6353878.756759781,5030104.73
World,2021-11-15,7868684247,16157307.873877782,20491815.077217106,20491815.077217106,16621599.876695996,13303553.2039704,11734174.677024757,11734174.677024757,1441686235.406988,6436099.265209768,5081062.7
World,2021-11-22,7868684247,16356564.377482228,20699004.189321112,20699004.189321112,16820219.272225875,13474365.939339388,11889385.735559942,11889385.735559942,1460309960.9264517,6519240.896993088,5132094.709
World,2021-11-29,7868684247,16560828.86195499,20911632.58078868,20911632.58078868,17024726.302460026,13654255.567465235,12046332.259548912,12046332.259548912,1479136421.060447,6603287.594019853,5181811.754
World,2021-12-06,7868684247,16754069.61216294,21106982.689212993,21106982.689212993,17211006.677329283,13822316.254294269,12189388.949126467,12189388.949126467,1491812348.7255657,6659876.556810562,5237423.772
World,2021-12-13,7868684247,16925659.287548807,21269667.97045964,21269667.97045964,17401009.35369671,13990449.928007798,12313152.451494362,12313152.451494362,1502953230.7085872,6709612.637091907,5287753.7930000005
World,2021-12-20,7868684247,17101824.81021458,21449137.05237855,21449137.05237855,17580590.038111478,14156625.641074497,12460406.416439932,12460406.416439932,1511600908.2649102,6748218.340468349,5336226.805
World,2021-12-27,7868684247,17281577.811214246,21667018.107777297,21667018.107777297,17795277.88114585,14335955.249399394,12612544.948984217,12612544.948984217,1519422930.4438243,6783138.082338502,5381715.8780000005
World,2022-01-03,7868684247,17425601.819068544,21926548.977025516,21926548.977025516,17953106.352650445,14496897.861934371,12785181.480389824,12785181.480389824,1520865598.508763,6789578.564771264,5423961.893
World,2022-01-10,7868684247,17647791.81255584,22252801.31642102,22252801.31642102,18178176.053014573,14700620.893265953,13001068.514146034,13001068.514146034,1522034435.2778199,6794796.586061696,5468900.913
World,2022-01-17,7868684247,17934620.611691505,22702990.91279207,22702990.91279207,18455419.182837036,15116276.49134664,13238483.83261335,13238483.83261335,1522034435.2778199,6794796.586061696,5519187.905
World,2022-01-24,7868684247,18220962.72899794,23131307.790184293,23131307.790184293,18741341.47114763,15531144.703963537,13477771.806112293,13477771.806112293,1522034435.2778199,6794796.586061696,5576510.954
World,2022-01-25,7868684247,18264949.205428492,23181977.180065308,23181977.180065308,18793728.21246468,15589451.29901786,13516544.60828845,13516544.60828845,1522034435.2778199,6794796.586061696,5584657.384
