continent,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Oceania,2021-01-04,43202462,-34.273447767904194,-29.34627926122202,-29.34627926122202,-29.34627926122202,-34.273447767904194,-34.273447767904194,-34.273447767904194,-541.3864650694188,-25.78030786044852,2.4675376139443164
Americas,2021-01-11,1026788511,145.26593174877434,145.26593174877434,145.26593174877434,145.26593174877434,143.11209616801864,143.11209616801864,143.11209616801864,6771.603991400777,141.07508315418286,96.020974274419
Asia,2021-01-11,4679006159,55.54886707205234,55.54886707205234,55.54886707205234,55.54886707205234,54.960626071264954,40.67414459439362,30.813676204544198,101.50275662554905,1.9902501299127264,7.4804829296229185
Africa,2021-01-11,1371693397,46.93245794274898,46.93245794274898,46.93245794274898,46.93245794274898,43.48749474196584,22.0877260658048,16.695153265967388,1030.0968791787145,18.729034166885718,5.350358918436931
Europe,2021-01-11,747993718,161.37036599703626,161.37869855616472,161.37097610662823,161.37036599703626,161.36765226741838,161.36765226741838,161.36705619614673,7907.408975176778,161.37569337095465,79.33573434102023
Oceania,2021-01-11,43202462,-34.780726419145225,-29.620693580723987,-29.620693580723987,-29.620693580723987,-34.780726419145225,-34.780726419145225,-34.780726419145225,-549.2102867656707,-26.15287079836527,2.4744886066909797
Americas,2021-01-18,1026788511,152.30387321693013,152.30387321693013,152.30387321693013,152.30387321693013,149.9462417798136,149.9462417798136,149.9462417798136,7091.716668201389,147.7440972541956,100.45226655248385
Asia,2021-01-18,4679006159,56.43911439888344,56.43911439888344,56.43911439888344,56.43911439888344,55.977241689197136,41.29192813793628,31.517978588655915,103.92344935724715,2.037714693279356,7.658469401899327
Africa,2021-01-18,1371693397,49.267407504003195,49.267407504003195,49.267407504003195,49.267407504003195,46.296324503733324,23.583238609051733,18.399874071782826,1094.3386289404539,19.897065980735526,5.805271803025235
Europe,2021-01-18,747993718,166.9650176478067,166.97339274533104,166.9657877782309,166.9650176478067,166.96245635412174,166.96245635412174,166.96178221711628,8181.508462409591,166.9695604573386,84.28804946193411
Oceania,2021-01-18,43202462,-34.73868956319379,-29.46934314514885,-29.46934314514885,-29.46934314514885,-34.73868956319379,-34.73868956319379,-34.73868956319379,-545.6151990488431,-25.981676145183005,2.4814395994376435
Americas,2021-01-25,1026788511,158.21980901818347,158.21980901818347,158.21980901818347,158.21980901818347,155.7904108280354,155.7904108280354,155.7904108280354,7359.121860042619,153.3150387508879,105.18995201339958
Asia,2021-01-25,4679006159,57.29013351366249,57.29013351366249,57.29013351366249,57.29013351366249,56.867375990622584,42.04600292353676,32.237994493719846,106.43261173098746,2.0869139555095577,7.827586725773318
Africa,2021-01-25,1371693397,51.326100716594496,51.326100716594496,51.326100716594496,51.326100716594496,48.20932622293752,24.551652613604904,19.996880912240602,1135.3645492248136,20.64299180408752,6.266236039918766
Europe,2021-01-25,747993718,171.97542955695073,171.98414440599112,171.97659980909438,171.97542955695073,171.97289842784605,171.97289842784605,171.97216112163602,8426.98070387187,171.97919803820142,89.52258767499436
Oceania,2021-01-25,43202462,-35.217422048779085,-29.7340906686535,-29.7340906686535,-29.7340906686535,-35.217422048779085,-35.217422048779085,-35.217422048779085,-553.0315208206694,-26.33483432479378,2.4860735946020855
Americas,2021-02-01,1026788511,163.42941625042147,163.42941625042147,163.42941625042147,163.42941625042147,160.9489275166224,160.9489275166224,160.9489275166224,7591.90119802968,158.164608292285,109.98441528140552
Asia,2021-02-01,4679006159,58.087556914507005,58.087556914507005,58.087556914507005,58.087556914507005,57.65573578801729,42.607782738344916,32.66431925058213,107.99327952863975,2.117515284875289,8.002175232870858
Africa,2021-02-01,1371693397,52.972165376108386,52.972165376108386,52.972165376108386,52.972165376108386,49.765593525792795,25.44777632279205,21.315180949040418,1161.27033735509,21.11400613372891,6.668950524954665
Europe,2021-02-01,747993718,175.4512629108159,175.46006200867595,175.45255926724303,175.4512629108159,175.4483723875899,175.4483723875899,175.44743855629383,8597.208422201245,175.45323310614788,94.47489998839804
Oceania,2021-02-01,43202462,-35.1989236496905,-29.51124270937305,-29.51124270937305,-29.51124270937305,-35.1989236496905,-35.1989236496905,-35.1989236496905,-550.2950218560792,-26.20452485028949,2.493024587348749
