location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Africa,2020-10-26,936.58,1121.741,1121.741,936.58,-253.537,232.625,FALSE
Asia,2020-10-26,11801.141,12109.311,12109.311,11801.141,6853.131,1471.75,FALSE
Oceania,2020-10-26,-50.726,-34.831,-34.831,-50.726,-50.726,1.5,FALSE
Europe,2020-10-26,6940.393,6940.738,6940.393,6940.143,6940.143,1674.375,FALSE
Latin America and Caribbean,2020-10-26,2487.366,2487.366,2487.366,2359.301,2359.301,1666.875,FALSE
North America,2020-10-26,1222.297,1222.297,1222.297,1222.297,1222.297,823.625,FALSE
Africa,2020-11-02,2262.127,2262.127,2262.127,2024.926,1285.886,266.25,FALSE
Asia,2020-11-02,13222.932,13222.932,13222.932,12619.961,6930.373,1430.5,FALSE
Oceania,2020-11-02,-26.983,-16.309,-16.309,-26.983,-28.2,2.5,FALSE
Europe,2020-11-02,9328.649,9329.108,9328.649,9328.078,9328.078,2490.875,FALSE
Latin America and Caribbean,2020-11-02,2569.962,2569.962,2569.962,2462.246,2462.246,1581.375,FALSE
North America,2020-11-02,1836.726,1836.726,1836.726,1836.726,1836.726,863.5,FALSE
Africa,2020-11-09,2661.704,2661.704,2661.704,2272.432,1484.956,304.25,FALSE
Asia,2020-11-09,13236.37,13236.37,13236.37,12630.058,7434.09,1560,FALSE
Oceania,2020-11-09,-11.251,0.856,0.856,-11.251,-11.907,2.5,FALSE
Europe,2020-11-09,9703.272,9703.623,9703.272,9702.698,9702.698,3630.25,FALSE
Latin America and Caribbean,2020-11-09,2575.78,2575.78,2575.78,2460.565,2460.565,1515.375,FALSE
North America,2020-11-09,1883.269,1883.269,1883.269,1883.269,1883.269,1059.5,FALSE
Africa,2020-11-16,2610.039,2610.039,2610.039,2285.98,1473.949,285.125,FALSE
Asia,2020-11-16,12684.304,12684.304,12684.304,12185.09,7089.017,1551.375,FALSE
Oceania,2020-11-16,-34.013,-22.09,-22.09,-34.013,-34.711,2.125,FALSE
Europe,2020-11-16,9625.146,9625.521,9625.146,9624.74,9624.74,4203.25,FALSE
Latin America and Caribbean,2020-11-16,2612.12,2612.12,2612.12,2531.608,2499.881,1632.786,FALSE
North America,2020-11-16,2282.469,2282.469,2282.469,2282.469,2282.469,1189.125,FALSE
Africa,2020-11-23,2284.364,2284.364,2284.364,2022.595,1256.427,328.125,FALSE
Asia,2020-11-23,12565.385,12565.385,12565.385,12280.489,7184.908,1702,FALSE
Oceania,2020-11-23,-31.049,-18.178,-18.178,-31.049,-31.245,1.875,FALSE
Europe,2020-11-23,9470.743,9471.12,9470.743,9470.448,9470.448,4638.125,FALSE
Latin America and Caribbean,2020-11-23,2649.351,2649.351,2649.351,2561.791,2544.51,1524.375,FALSE
North America,2020-11-23,2473.04,2473.04,2473.04,2473.04,2473.04,1601.375,FALSE
Africa,2020-11-30,2664.577,2664.577,2664.577,2225.819,1223.969,284.25,FALSE
Asia,2020-11-30,10989.185,12665.357,12665.357,10989.185,6949.463,1701.75,FALSE
Oceania,2020-11-30,0.531,12.812,12.812,0.531,-1.307,1.625,FALSE
Europe,2020-11-30,9224.672,9225.074,9224.734,9224.672,9224.447,4887,FALSE
Latin America and Caribbean,2020-11-30,2767.292,2767.292,2767.292,2659.564,2652.472,1690.875,FALSE
North America,2020-11-30,2918.983,2918.983,2918.983,2918.983,2918.983,1603,FALSE
Africa,2020-12-07,3109.386,3109.386,3109.386,2724.149,1596.792,299.375,FALSE
Asia,2020-12-07,11185.301,12506.812,12506.812,11185.301,7027.186,1622.75,FALSE
Oceania,2020-12-07,-24.593,-11.257,-11.257,-24.593,-28.109,0.75,FALSE
Europe,2020-12-07,8880.589,8880.818,8880.589,8880.573,8880.458,4787.375,FALSE
Latin America and Caribbean,2020-12-07,3273.021,3273.021,3273.021,3166.966,3161.33,1753.625,FALSE
North America,2020-12-07,3509.812,3509.812,3509.812,3509.812,3509.812,2298.5,FALSE
Africa,2020-12-14,3659.624,3659.624,3659.624,2581.271,2095.956,346.875,FALSE
