location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Oceania,2020-11-23,-18.187,-6.709,-13.155,-18.53,-22.438,2.177,FALSE
Europe,2020-11-23,111.048,111.093,111.051,111.041,111.031,48.173,FALSE
Asia,2020-11-23,45.404,58.147,45.404,32.628,12.029,5.991,FALSE
Latin America and Caribbean,2020-11-23,110.456,113.338,111.249,109.069,107.04,74.575,FALSE
Africa,2020-11-23,26.056,30.15,26.056,0.86,-26.544,3.639,FALSE
North America,2020-11-23,113.073,113.073,113.073,113.073,113.073,73.163,FALSE
Oceania,2020-11-30,-17.85,-6.118,-12.695,-18.286,-22.323,2.18,FALSE
Europe,2020-11-30,119.678,119.728,119.681,119.671,119.661,52.822,FALSE
Asia,2020-11-30,47.031,60.575,47.031,33.996,12.834,6.247,FALSE
Latin America and Caribbean,2020-11-30,113.393,116.345,114.157,111.964,109.857,76.456,FALSE
Africa,2020-11-30,27.2,31.665,27.2,1.583,-26.43,3.785,FALSE
North America,2020-11-30,118.812,118.812,118.812,118.812,118.812,76.302,FALSE
Oceania,2020-12-07,-17.871,-5.885,-12.538,-18.435,-22.576,2.18,FALSE
Europe,2020-12-07,127.988,128.041,127.992,127.98,127.97,57.367,FALSE
Asia,2020-12-07,48.664,63.007,48.664,35.606,13.647,6.489,FALSE
Latin America and Caribbean,2020-12-07,116.901,119.862,117.675,115.451,113.243,78.386,FALSE
Africa,2020-12-07,28.744,33.599,28.744,2.34,-25.942,3.94,FALSE
North America,2020-12-07,125.546,125.546,125.546,125.546,125.546,80.876,FALSE
Oceania,2020-12-14,-17.636,-5.413,-12.047,-18.328,-22.374,2.182,FALSE
Europe,2020-12-14,135.725,135.782,135.729,135.716,135.706,61.835,FALSE
Asia,2020-12-14,50.201,65.231,50.232,37.015,14.535,6.716,FALSE
Latin America and Caribbean,2020-12-14,120.627,123.67,121.417,119.142,116.859,80.364,FALSE
Africa,2020-12-14,30.849,35.938,30.849,3.803,-25.463,4.124,FALSE
North America,2020-12-14,132.29,132.29,132.29,132.29,132.29,85.931,FALSE
Oceania,2020-12-21,-17.346,-4.88,-11.493,-18.164,-22.077,2.184,FALSE
Europe,2020-12-21,143.248,143.31,143.253,143.24,143.229,66.5,FALSE
Asia,2020-12-21,51.546,67.355,51.764,38.308,15.173,6.932,FALSE
Latin America and Caribbean,2020-12-21,124.787,127.885,125.594,123.23,120.911,82.546,FALSE
Africa,2020-12-21,33.572,38.255,33.572,5.708,-23.514,4.334,FALSE
North America,2020-12-21,139.261,139.261,139.261,139.261,139.261,91.386,FALSE
Oceania,2020-12-28,-17.176,-4.434,-11.163,-17.912,-21.883,2.186,FALSE
Europe,2020-12-28,150.79,150.856,150.795,150.782,150.77,70.468,FALSE
Asia,2020-12-28,52.601,69.31,53.041,39.502,15.628,7.135,FALSE
Latin America and Caribbean,2020-12-28,129.595,132.802,130.461,128.069,125.605,84.551,FALSE
Africa,2020-12-28,36.6,40.903,36.6,7.811,-21.759,4.612,FALSE
North America,2020-12-28,146.994,146.994,146.994,146.994,146.994,96.017,FALSE
Oceania,2021-01-04,-17.015,-3.982,-10.862,-17.927,-21.737,2.186,FALSE
Europe,2021-01-04,156.287,156.357,156.293,156.279,156.266,74.707,FALSE
Asia,2021-01-04,53.552,70.855,54.48,40.792,15.722,7.318,FALSE
