location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
North America,2020-12-07,0.962,0.962,0.962,0.962,0.962,0.62,FALSE
Europe,2020-12-07,1.187,1.188,1.187,1.187,1.187,0.639,FALSE
Latin America and Caribbean,2020-12-14,0.532,0.545,0.536,0.526,0.516,0.272,FALSE
Asia,2020-12-14,0.22,0.305,0.236,0.185,0.083,0.032,FALSE
Oceania,2020-12-14,0.034,0.092,0.065,0.034,0.005,0,FALSE
Africa,2020-12-14,0.301,0.346,0.301,0.17,0.059,0.025,FALSE
North America,2020-12-14,0.963,0.963,0.963,0.963,0.963,0.688,FALSE
Europe,2020-12-14,1.105,1.106,1.105,1.105,1.105,0.624,FALSE
Latin America and Caribbean,2020-12-21,0.594,0.605,0.597,0.587,0.579,0.301,FALSE
Asia,2020-12-21,0.192,0.268,0.217,0.155,0.068,0.031,FALSE
Oceania,2020-12-21,0.041,0.102,0.072,0.041,0.013,0,FALSE
Africa,2020-12-21,0.389,0.396,0.389,0.227,0.093,0.029,FALSE
North America,2020-12-21,0.996,0.996,0.996,0.996,0.996,0.742,FALSE
Europe,2020-12-21,1.075,1.075,1.075,1.075,1.075,0.65,FALSE
Latin America and Caribbean,2020-12-28,0.687,0.715,0.695,0.68,0.67,0.282,FALSE
Asia,2020-12-28,0.151,0.26,0.198,0.141,0.041,0.029,FALSE
Oceania,2020-12-28,0.024,0.085,0.056,0.024,-0.002,0.001,FALSE
North America,2020-12-28,1.105,1.105,1.105,1.105,1.105,0.643,FALSE
Africa,2020-12-28,0.433,0.484,0.433,0.261,0.133,0.039,FALSE
Europe,2020-12-28,1.077,1.078,1.077,1.077,1.077,0.564,FALSE
Latin America and Caribbean,2021-01-04,0.812,0.871,0.83,0.811,0.796,0.315,FALSE
Asia,2021-01-04,0.136,0.229,0.167,0.126,0.013,0.026,FALSE
Oceania,2021-01-04,0.023,0.07,0.049,0.021,-0.002,0,FALSE
North America,2021-01-04,0.983,0.983,0.983,0.983,0.983,0.743,FALSE
Europe,2021-01-04,0.785,0.786,0.785,0.785,0.785,0.599,FALSE
Africa,2021-01-04,0.481,0.539,0.481,0.32,0.236,0.047,FALSE
Latin America and Caribbean,2021-01-11,1.014,1.058,1.033,1.014,0.997,0.419,FALSE
